,id,full_name,road_segment_wkt
0,606114469,Northern Mtwy,"LINESTRING(174.76028 -36.80417,174.76041 -36.80389)"
1,606114470,Northern Mtwy,"LINESTRING(174.76043 -36.80419,174.76053 -36.80397)"
2,606114471,Northern Mtwy,"LINESTRING(174.76009 -36.80453,174.76028 -36.80417)"
3,606114472,Northern Mtwy,"LINESTRING(174.76022 -36.80458,174.76043 -36.80419)"
4,605961478,Northern Mtwy,"LINESTRING(174.74429 -36.77469,174.74387 -36.77401,174.74337 -36.77316,174.74301 -36.77252,174.74267 -36.77189,174.74262 -36.7718)"
5,605964923,417,"LINESTRING(174.74429 -36.77469,174.74396 -36.77443,174.74383 -36.77424)"
6,606092275,Northern Mtwy,"LINESTRING(174.74514 -36.7761,174.74429 -36.77469)"
7,606097428,Northern Mtwy,"LINESTRING(174.74492 -36.77546,174.74464 -36.77502)"
8,606121831,Entries,"LINESTRING(174.74402 -36.77713,174.74403 -36.77703,174.74404 -36.77694,174.74404 -36.77682)"
9,606211389,Entries,"LINESTRING(174.74049 -36.76982,174.74056 -36.76981,174.74062 -36.76977)"
10,606211391,Entries,"LINESTRING(174.74062 -36.76977,174.74063 -36.76971,174.74061 -36.76966)"
11,606211392,Entries,"LINESTRING(174.74061 -36.76966,174.74057 -36.76962,174.7405 -36.7696,174.74043 -36.76961,174.74038 -36.76963)"
12,606211393,Entries,"LINESTRING(174.74049 -36.76982,174.74042 -36.76981)"
13,606211395,Entries,"LINESTRING(174.74061 -36.76966,174.74065 -36.76961,174.7407 -36.76958)"
14,605978198,Entries,"LINESTRING(174.75419 -36.81115,174.75512 -36.81042)"
15,606104454,Northern Mtwy,"LINESTRING(174.7235 -36.74755,174.72341 -36.74742,174.72321 -36.74714)"
16,606105468,Northern Mtwy,"LINESTRING(174.72336 -36.74758,174.72306 -36.74716)"
17,605950370,Entries,"LINESTRING(174.71663 -36.73574,174.7168 -36.73577,174.71715 -36.73593,174.71728 -36.73596,174.71742 -36.73595,174.71753 -36.73591,174.71761 -36.73586,174.71768 -36.7358,174.71772 -36.73575,174.71774 -36.73568,174.71773 -36.73555,174.71771 -36.7355)"
18,605977523,Entries,"LINESTRING(174.71735 -36.73619,174.71663 -36.73574)"
19,606049913,Northern Mtwy,"LINESTRING(174.71898 -36.73769,174.71884 -36.73734,174.71874 -36.73709,174.71857 -36.73672,174.71843 -36.73641,174.71822 -36.73599,174.71802 -36.7356,174.71795 -36.73547)"
20,606104451,Northern Mtwy,"LINESTRING(174.719 -36.73809,174.71885 -36.73769)"
21,606104452,Northern Mtwy,"LINESTRING(174.71885 -36.73769,174.71872 -36.73736,174.7186 -36.73709,174.71846 -36.73677,174.71831 -36.73645,174.71812 -36.73605,174.71791 -36.73565,174.71778 -36.73541)"
22,606104453,Northern Mtwy,"LINESTRING(174.71913 -36.73808,174.71898 -36.73769)"
23,606208964,Entries,"LINESTRING(174.71774 -36.7365,174.71735 -36.73619)"
24,606212185,Entries,"LINESTRING(174.71782 -36.73434,174.71781 -36.73426,174.71784 -36.73418,174.71792 -36.73411)"
25,606212188,Entries,"LINESTRING(174.71804 -36.73444,174.71815 -36.73442)"
26,606212189,Entries,"LINESTRING(174.71775 -36.73455,174.71785 -36.73451,174.71791 -36.73449,174.71796 -36.73447,174.71804 -36.73444)"
27,605971071,Northern Mtwy,"LINESTRING(174.74547 -36.77633,174.74529 -36.77605,174.74492 -36.77546)"
28,605993654,Entries,"LINESTRING(174.74336 -36.77581,174.74358 -36.77574,174.74363 -36.77575)"
29,606092274,Northern Mtwy,"LINESTRING(174.74559 -36.77681,174.74514 -36.7761)"
30,606094518,Northern Mtwy,"LINESTRING(174.74775 -36.78025,174.74752 -36.77989)"
31,605998548,Entries,"LINESTRING(174.71339 -36.7181,174.71332 -36.71801)"
32,606121436,Entries,"LINESTRING(174.71237 -36.71903,174.71223 -36.71878)"
33,606121438,Entries,"LINESTRING(174.71237 -36.71903,174.71221 -36.71898,174.71208 -36.71897,174.7119 -36.71898)"
34,605947476,Entries,"LINESTRING(174.71815 -36.73442,174.71823 -36.73435,174.71826 -36.73426,174.71821 -36.73417)"
35,605955928,Entries,"LINESTRING(174.71771 -36.7355,174.71769 -36.73545,174.71764 -36.73536,174.71738 -36.7349,174.71706 -36.73433,174.71688 -36.73395)"
36,606058259,Northern Mtwy,"LINESTRING(174.71756 -36.73502,174.71745 -36.73483,174.71727 -36.73454,174.71708 -36.73423,174.71688 -36.73395)"
37,606083450,Northern Mtwy,"LINESTRING(174.71778 -36.73541,174.71756 -36.73502)"
38,606104448,Northern Mtwy,"LINESTRING(174.71688 -36.73395,174.71669 -36.73365,174.71652 -36.73337,174.71636 -36.73309,174.71625 -36.73288,174.71612 -36.73263,174.71596 -36.73231,174.7158 -36.73193,174.71565 -36.73157,174.71551 -36.73118)"
39,606104449,Northern Mtwy,"LINESTRING(174.71795 -36.73547,174.71789 -36.73536,174.71777 -36.73514,174.71766 -36.73496,174.71753 -36.73474,174.71739 -36.73451,174.71719 -36.73419,174.71703 -36.73391)"
40,606104450,Northern Mtwy,"LINESTRING(174.71703 -36.73391,174.71685 -36.73362,174.71666 -36.73331,174.7165 -36.73303,174.71639 -36.73283,174.71627 -36.73258,174.71611 -36.73227,174.71595 -36.73189,174.7158 -36.73152,174.71567 -36.73116)"
41,606208963,Entries,"LINESTRING(174.71795 -36.73669,174.71774 -36.7365)"
42,606092273,Northern Mtwy,"LINESTRING(174.75281 -36.78803,174.75201 -36.78675,174.75138 -36.78574)"
43,606091780,Entries,"LINESTRING(174.71223 -36.71878,174.71218 -36.71868)"
44,606102620,Entries,"LINESTRING(174.71317 -36.72263,174.71318 -36.72239)"
45,606103350,Entries,"LINESTRING(174.71366 -36.722,174.71352 -36.72125)"
46,606104482,Northern Mtwy,"LINESTRING(174.71432 -36.72262,174.71415 -36.72208)"
47,606108956,Northern Mtwy,"LINESTRING(174.71415 -36.72262,174.71407 -36.72231,174.714 -36.72206)"
48,606220662,Entries,"LINESTRING(174.71318 -36.72239,174.7126 -36.72234)"
49,605977498,Entries,"LINESTRING(174.76036 -36.80096,174.76022 -36.80076)"
50,606051139,Entries,"LINESTRING(174.75933 -36.80155,174.75919 -36.80145)"
51,606075211,Entries,"LINESTRING(174.75991 -36.80018,174.75998 -36.79995)"
52,606115706,Entries,"LINESTRING(174.76176 -36.79894,174.76159 -36.79866)"
53,606115707,Entries,"LINESTRING(174.76196 -36.79882,174.76177 -36.79876,174.76159 -36.79866)"
54,606115723,Northern Busway,"LINESTRING(174.76214 -36.80024,174.76224 -36.79972,174.76225 -36.7993,174.76222 -36.7991,174.76218 -36.799)"
55,606115732,Entries,"LINESTRING(174.76176 -36.79912,174.76176 -36.79894)"
56,606117101,Northern Mtwy,"LINESTRING(174.76125 -36.79948,174.7612 -36.7993)"
57,605942507,Entries,"LINESTRING(174.7433 -36.77203,174.74315 -36.77174)"
58,605954384,Entries,"LINESTRING(174.74265 -36.77253,174.74231 -36.77202)"
59,605960802,Entries,"LINESTRING(174.74265 -36.77253,174.74245 -36.77232,174.74227 -36.77223,174.74211 -36.77219,174.74192 -36.77217)"
60,606101973,Northern Mtwy,"LINESTRING(174.74276 -36.77163,174.74251 -36.77115,174.74209 -36.77036,174.74182 -36.76983,174.74148 -36.76919,174.7411 -36.76845)"
61,606024131,417,"LINESTRING(174.7422 -36.77011,174.74162 -36.76919,174.74113 -36.76841,174.74102 -36.76829)"
62,606033556,Northern Mtwy,"LINESTRING(174.7411 -36.76845,174.74102 -36.76829)"
63,606097430,Northern Mtwy,"LINESTRING(174.74104 -36.76878,174.7408 -36.76831)"
64,606104784,Northern Busway,"LINESTRING(174.74227 -36.77009,174.74122 -36.76834,174.74056 -36.76696)"
65,605972031,Entries,"LINESTRING(174.71445 -36.72399,174.71433 -36.72358)"
66,606234560,Entries,"LINESTRING(174.71318 -36.72239,174.71328 -36.72234)"
67,606092271,Northern Mtwy,"LINESTRING(174.76053 -36.80397,174.76076 -36.80343,174.76097 -36.8029)"
68,606092272,Northern Mtwy,"LINESTRING(174.76041 -36.80389,174.76071 -36.80312,174.76082 -36.80283)"
69,606115710,Entries,"LINESTRING(174.76097 -36.8029,174.76124 -36.80249,174.76154 -36.80169)"
70,605975283,Entries,"LINESTRING(174.76054 -36.7965,174.7606 -36.79645,174.76069 -36.79643,174.76078 -36.79645,174.76084 -36.7965)"
71,605995896,Entries,"LINESTRING(174.7613 -36.79767,174.76159 -36.79748)"
72,606115704,Northern Mtwy,"LINESTRING(174.76042 -36.79777,174.76016 -36.79744,174.76001 -36.79727)"
73,606115705,Entries,"LINESTRING(174.76036 -36.7998,174.76055 -36.79957,174.76064 -36.7994,174.76066 -36.79913,174.76063 -36.79884,174.76049 -36.79833,174.76035 -36.79805,174.76017 -36.79772,174.76003 -36.79749,174.76001 -36.79727)"
74,606115736,Northern Mtwy,"LINESTRING(174.76057 -36.79767,174.76046 -36.79753,174.76028 -36.79732,174.76013 -36.79715)"
75,606201010,Northern Busway,"LINESTRING(174.7613 -36.79767,174.76076 -36.79714)"
76,606209561,Northern Busway,"LINESTRING(174.76182 -36.79828,174.76168 -36.79809,174.7613 -36.79767)"
77,605965731,Northern Mtwy,"LINESTRING(174.75021 -36.82148,174.75012 -36.82093,174.7501 -36.82073,174.75012 -36.82046)"
78,606115319,Northern Mtwy,"LINESTRING(174.75012 -36.82046,174.75012 -36.82008)"
79,605946934,Entries,"LINESTRING(174.73713 -36.76255,174.73707 -36.76252,174.73701 -36.76252)"
80,605999279,Entries,"LINESTRING(174.73695 -36.76264,174.73694 -36.76259,174.73697 -36.76255,174.73701 -36.76252)"
81,606058651,Entries,"LINESTRING(174.73709 -36.76269,174.73715 -36.76265,174.73716 -36.76259,174.73713 -36.76255)"
82,606079006,Entries,"LINESTRING(174.73709 -36.76269,174.73704 -36.7627,174.73698 -36.76268,174.73695 -36.76264)"
83,606120683,Entries,"LINESTRING(174.75388 -36.81346,174.75401 -36.81332,174.75415 -36.81315,174.75425 -36.81296,174.75428 -36.8128,174.75428 -36.81259,174.75422 -36.81239,174.75402 -36.81214)"
84,606120684,421,"LINESTRING(174.75245 -36.81353,174.75255 -36.81354,174.75282 -36.81352,174.75322 -36.81333,174.75356 -36.81303,174.75402 -36.81214)"
85,606120688,421,"LINESTRING(174.75245 -36.81353,174.75224 -36.81349)"
86,606116745,Northern Mtwy,"LINESTRING(174.75107 -36.81505,174.75121 -36.81483)"
87,605941937,Northern Mtwy,"LINESTRING(174.72767 -36.75242,174.72676 -36.7515,174.72641 -36.75112,174.72615 -36.75083,174.72605 -36.75072,174.72602 -36.75069)"
88,606092096,Northern Mtwy,"LINESTRING(174.72754 -36.75247,174.72697 -36.7519,174.72652 -36.75143,174.72626 -36.75115,174.72601 -36.75087,174.72592 -36.75076,174.72586 -36.75069)"
89,606092252,Entries,"LINESTRING(174.75148 -36.81486,174.75182 -36.81452,174.75201 -36.81435,174.75228 -36.81417,174.75253 -36.81402,174.75267 -36.81397,174.7529 -36.81389,174.75342 -36.81371,174.75368 -36.81359,174.75388 -36.81346)"
90,606092269,Northern Mtwy,"LINESTRING(174.75121 -36.81483,174.75139 -36.81459)"
91,606092270,Northern Mtwy,"LINESTRING(174.75143 -36.81494,174.75148 -36.81486)"
92,606112314,Northern Mtwy,"LINESTRING(174.74829 -36.82639,174.74854 -36.82601,174.74873 -36.82573)"
93,606112315,Northern Mtwy,"LINESTRING(174.74861 -36.82641,174.74879 -36.82613,174.74898 -36.82584)"
94,606114553,Northern Mtwy,"LINESTRING(174.74873 -36.82573,174.74898 -36.82535,174.74922 -36.82498,174.74957 -36.82445,174.74975 -36.82415,174.74987 -36.82395,174.74994 -36.8238,174.75001 -36.82364,174.75007 -36.82348,174.75011 -36.82335,174.75015 -36.82318,174.75018 -36.82298,174.75019 -36.8228,174.75018 -36.82256,174.75017 -36.8224,174.75015 -36.82224,174.75011 -36.82205,174.75004 -36.82175)"
95,606115339,Northern Mtwy,"LINESTRING(174.74898 -36.82584,174.74917 -36.82555,174.74934 -36.82529,174.74958 -36.82492,174.74984 -36.82454,174.75001 -36.82427,174.75015 -36.82403,174.75026 -36.82381)"
96,606125832,Northern Mtwy,"LINESTRING(174.74771 -36.82728,174.74796 -36.82688,174.74829 -36.82639)"
97,606125836,Northern Mtwy,"LINESTRING(174.74816 -36.82709,174.74823 -36.82698,174.74861 -36.82641)"
98,606125837,Northern Mtwy,"LINESTRING(174.74798 -36.82716,174.74812 -36.82695,174.74844 -36.82647)"
99,605958644,Entries,"LINESTRING(174.72669 -36.751,174.72652 -36.75072)"
100,605986970,Entries,"LINESTRING(174.72642 -36.75062,174.72611 -36.75029)"
101,606011793,Northern Mtwy,"LINESTRING(174.72602 -36.75069,174.72556 -36.75017,174.72533 -36.7499,174.72513 -36.74965,174.72458 -36.74898,174.72417 -36.74846,174.72401 -36.74824,174.72384 -36.74802,174.7237 -36.74783,174.7235 -36.74755)"
102,606014057,Entries,"LINESTRING(174.72557 -36.75086,174.72544 -36.75068)"
103,606046310,Entries,"LINESTRING(174.7266 -36.75056,174.72645 -36.7505,174.72635 -36.75044,174.72622 -36.75036,174.72611 -36.75029)"
104,606087665,Entries,"LINESTRING(174.72498 -36.75102,174.72521 -36.75091)"
105,606095171,Entries,"LINESTRING(174.72521 -36.75091,174.72529 -36.75087,174.72536 -36.75081,174.72542 -36.75075,174.72544 -36.75068)"
106,606095173,Entries,"LINESTRING(174.72605 -36.75142,174.72594 -36.75135,174.72585 -36.75127,174.72574 -36.75118,174.72563 -36.7511,174.72548 -36.75101)"
107,606098509,Entries,"LINESTRING(174.72669 -36.751,174.72669 -36.75093,174.72669 -36.75087)"
108,606098510,Entries,"LINESTRING(174.72669 -36.75087,174.72673 -36.75079,174.72679 -36.75072,174.72689 -36.75066,174.727 -36.7506,174.7271 -36.75056,174.72732 -36.75048)"
109,606098520,Northern Busway,"LINESTRING(174.72745 -36.75148,174.72731 -36.75136,174.72701 -36.75111,174.72669 -36.751)"
110,606095184,Northern Mtwy,"LINESTRING(174.73189 -36.7564,174.73142 -36.75597,174.73057 -36.75523,174.73001 -36.75477,174.72915 -36.75402,174.72866 -36.75357,174.72822 -36.75316,174.72754 -36.75247)"
111,606098528,Northern Busway,"LINESTRING(174.73261 -36.7565,174.73125 -36.75523,174.7301 -36.75412,174.72899 -36.75308)"
112,606098529,Northern Busway,"LINESTRING(174.72899 -36.75308,174.72803 -36.75216,174.72788 -36.75192,174.72745 -36.75148)"
113,606232984,Entries,"LINESTRING(174.72891 -36.7519,174.7286 -36.75162,174.72808 -36.75109)"
114,605945760,Entries,"LINESTRING(174.7534 -36.78773,174.75319 -36.78771,174.75302 -36.78764)"
115,605952511,Entries,"LINESTRING(174.75215 -36.78879,174.75232 -36.78875,174.75243 -36.78875,174.75255 -36.78875)"
116,605958606,Entries,"LINESTRING(174.75332 -36.78813,174.75321 -36.78791)"
117,605965986,Entries,"LINESTRING(174.75321 -36.78791,174.75302 -36.78764)"
118,605969215,Entries,"LINESTRING(174.7524 -36.78857,174.7523 -36.78846)"
119,605979136,Entries,"LINESTRING(174.75262 -36.78883,174.75255 -36.78875)"
120,606072784,Entries,"LINESTRING(174.75255 -36.78875,174.7524 -36.78857)"
121,606132795,Northern Mtwy,"LINESTRING(174.74464 -36.77502,174.74402 -36.77398,174.74366 -36.77332)"
122,606132796,Northern Mtwy,"LINESTRING(174.74366 -36.77332,174.74353 -36.77308,174.74287 -36.77183,174.74276 -36.77163)"
123,606133511,Entries,"LINESTRING(174.74313 -36.77321,174.74293 -36.77291,174.74286 -36.77281)"
124,606133512,Entries,"LINESTRING(174.74286 -36.77281,174.74277 -36.77268)"
125,606133513,Entries,"LINESTRING(174.74277 -36.77268,174.74265 -36.77253)"
126,606133514,Entries,"LINESTRING(174.74383 -36.77424,174.74365 -36.77399)"
127,606133515,Entries,"LINESTRING(174.74365 -36.77399,174.74313 -36.77321)"
128,606144968,Entries,"LINESTRING(174.74492 -36.77546,174.74447 -36.77451,174.74412 -36.77384,174.74388 -36.77328)"
129,606162065,Entries,"LINESTRING(174.74386 -36.77154,174.74341 -36.77156,174.74327 -36.77154,174.74318 -36.77149)"
130,606162066,Entries,"LINESTRING(174.74318 -36.77149,174.74296 -36.77137)"
131,606162068,Entries,"LINESTRING(174.7433 -36.77203,174.74338 -36.77195)"
132,606162078,Northern Busway,"LINESTRING(174.74455 -36.77455,174.74418 -36.77381,174.7435 -36.77225,174.74345 -36.77211,174.74338 -36.77195,174.74328 -36.7717,174.74325 -36.77162,174.74318 -36.77149)"
133,606177139,Entries,"LINESTRING(174.74388 -36.77328,174.74372 -36.77293)"
134,606177140,Entries,"LINESTRING(174.74372 -36.77293,174.7433 -36.77203)"
135,606177192,Entries,"LINESTRING(174.74221 -36.77176,174.74217 -36.77165)"
136,606177193,Entries,"LINESTRING(174.74217 -36.77165,174.74197 -36.77117,174.74169 -36.77048)"
137,606179363,Entries,"LINESTRING(174.74338 -36.77195,174.74345 -36.77189)"
138,606179364,Entries,"LINESTRING(174.74345 -36.77189,174.7436 -36.77174,174.74371 -36.77165,174.74386 -36.77154)"
139,606127803,Northern Mtwy,"LINESTRING(174.75997 -36.80476,174.76009 -36.80453)"
140,606127804,Northern Mtwy,"LINESTRING(174.76008 -36.80484,174.76022 -36.80458)"
141,606131756,Northern Mtwy,"LINESTRING(174.76082 -36.80283,174.76105 -36.80221,174.76115 -36.80193,174.76122 -36.8017,174.76127 -36.8015,174.76132 -36.80125,174.76135 -36.80095,174.76137 -36.80066,174.76137 -36.80047,174.76136 -36.80022,174.76134 -36.79999,174.76131 -36.79979,174.76128 -36.79962)"
142,606132939,Northern Mtwy,"LINESTRING(174.76097 -36.8029,174.76114 -36.80245,174.76126 -36.80213,174.76139 -36.80173,174.76146 -36.80144,174.76152 -36.8011,174.76155 -36.80079,174.76156 -36.80053)"
143,606133498,Northern Mtwy,"LINESTRING(174.75898 -36.80622,174.75915 -36.806,174.75929 -36.80581,174.75949 -36.80553,174.75969 -36.80522,174.75984 -36.80498,174.75997 -36.80476)"
144,606144135,420,"LINESTRING(174.76041 -36.80389,174.76056 -36.80318)"
145,606162034,Entries,"LINESTRING(174.76056 -36.80318,174.76071 -36.80228,174.76073 -36.80185)"
146,606162035,Entries,"LINESTRING(174.76073 -36.80185,174.76068 -36.8016)"
147,606162052,Northern Busway,"LINESTRING(174.76052 -36.80421,174.76099 -36.80331,174.76129 -36.80251)"
148,606162058,Northern Busway,"LINESTRING(174.76032 -36.8046,174.76037 -36.80452,174.76052 -36.80421)"
149,606162059,Northern Busway,"LINESTRING(174.76002 -36.80451,174.7601 -36.80438,174.76019 -36.80414)"
150,606162063,Northern Busway,"LINESTRING(174.76129 -36.80251,174.76177 -36.8013,174.762 -36.80072,174.76214 -36.80024)"
151,606162072,Northern Busway,"LINESTRING(174.7603 -36.80387,174.76047 -36.80315,174.76059 -36.80227,174.7606 -36.80204,174.76073 -36.80185)"
152,606162076,Northern Busway,"LINESTRING(174.76019 -36.80414,174.7603 -36.80387)"
153,606171667,Northern Busway,"LINESTRING(174.76017 -36.80486,174.76032 -36.8046)"
154,606171676,Northern Busway,"LINESTRING(174.75989 -36.80474,174.76002 -36.80451)"
155,606194164,Entries,"LINESTRING(174.75963 -36.79925,174.75954 -36.79887)"
156,606127651,Northern Mtwy,"LINESTRING(174.71945 -36.73906,174.71938 -36.73885,174.71933 -36.73869,174.71926 -36.73847,174.71919 -36.73824,174.71913 -36.73808)"
157,606134398,Entries,"LINESTRING(174.71837 -36.73513,174.7183 -36.73483,174.71819 -36.73453)"
158,606134399,Entries,"LINESTRING(174.71819 -36.73453,174.71815 -36.73442)"
159,606134400,Entries,"LINESTRING(174.71857 -36.73604,174.71837 -36.73513)"
160,606134401,Entries,"LINESTRING(174.71898 -36.73769,174.71869 -36.73655)"
161,606134402,Entries,"LINESTRING(174.71869 -36.73655,174.71857 -36.73604)"
162,606134526,412,"LINESTRING(174.719 -36.73809,174.71868 -36.73762,174.71849 -36.73729,174.71826 -36.73699,174.71795 -36.73669)"
163,606134533,Entries,"LINESTRING(174.71792 -36.73411,174.71777 -36.73391)"
164,606134534,Entries,"LINESTRING(174.71777 -36.73391,174.71761 -36.73374,174.71741 -36.73348)"
165,606144924,Northern Mtwy,"LINESTRING(174.71932 -36.73909,174.71926 -36.73888,174.71919 -36.73866,174.7191 -36.73838)"
166,606144925,Northern Mtwy,"LINESTRING(174.7191 -36.73838,174.719 -36.73809)"
167,606144926,Northern Mtwy,"LINESTRING(174.71954 -36.73984,174.71943 -36.73943,174.71937 -36.73924,174.71932 -36.73909)"
168,606147831,Northern Mtwy,"LINESTRING(174.71988 -36.74122,174.7196 -36.7401,174.71954 -36.73984)"
169,606147833,412,"LINESTRING(174.71741 -36.73348,174.71707 -36.73304)"
170,606149560,Entries,"LINESTRING(174.71821 -36.73417,174.71815 -36.73411)"
171,606149561,Entries,"LINESTRING(174.71792 -36.73411,174.71804 -36.73408,174.71815 -36.73411)"
172,606127650,Northern Mtwy,"LINESTRING(174.72145 -36.74449,174.7213 -36.74424,174.7211 -36.74388,174.72092 -36.74354,174.72073 -36.74314,174.72057 -36.74279,174.7204 -36.74239,174.72028 -36.74206,174.72021 -36.74185,174.72011 -36.74152,174.72002 -36.74121,174.71994 -36.74089,174.71987 -36.74061,174.71974 -36.74004,174.71968 -36.73982,174.7196 -36.73953,174.71952 -36.7393,174.71945 -36.73906)"
173,606127825,Northern Mtwy,"LINESTRING(174.72306 -36.74716,174.72249 -36.74633)"
174,606127826,Northern Mtwy,"LINESTRING(174.72249 -36.74633,174.72215 -36.74583,174.7217 -36.74515,174.72152 -36.74487,174.72142 -36.74471,174.72133 -36.74456)"
175,606127827,Northern Mtwy,"LINESTRING(174.72321 -36.74714,174.72262 -36.74629)"
176,606127828,Northern Mtwy,"LINESTRING(174.72262 -36.74629,174.72226 -36.74573,174.72171 -36.74492,174.72145 -36.74449)"
177,606184199,Entries,"LINESTRING(174.72407 -36.74873,174.72368 -36.74819,174.72337 -36.74773,174.72306 -36.74716)"
178,606132476,Northern Mtwy,"LINESTRING(174.72441 -36.74897,174.72428 -36.74881,174.72395 -36.74838,174.72371 -36.74805,174.72336 -36.74758)"
179,606141244,414,"LINESTRING(174.72565 -36.74981,174.72513 -36.74929,174.72476 -36.74891,174.72445 -36.74858,174.72422 -36.74831,174.72388 -36.74791,174.72368 -36.74769,174.7235 -36.74755)"
180,606177033,Northern Mtwy,"LINESTRING(174.7349 -36.7589,174.7343 -36.7584,174.73381 -36.75799,174.73311 -36.7574)"
181,606178292,Northern Mtwy,"LINESTRING(174.732 -36.75622,174.73165 -36.75594,174.73118 -36.75555,174.73094 -36.75535,174.73073 -36.75518,174.73037 -36.75489)"
182,606178293,Northern Mtwy,"LINESTRING(174.73037 -36.75489,174.72985 -36.75445,174.72922 -36.7539,174.72873 -36.75345,174.72829 -36.75303,174.72767 -36.75242)"
